用户名,推荐,游戏时长,评论
信,Not Recommended,10.2 hrs on record (9.6 hrs at review time),该他的
3075945618,Not Recommended,0.2 hrs on record,4M
小鸟游星野,Not Recommended,0.1 hrs on record,逃生下不上，气死我了，给个差评
seehz,Not Recommended,0.5 hrs on record,今天吃完饭躺了一会儿然后看了半小时抖音打开了三国杀被气死了给个差评
Stuwart,Not Recommended,66.0 hrs on record (37.1 hrs at review time),概率很不合理的司马游戏
KoiYolo,Not Recommended,0.1 hrs on record,我搜的游戏王啊魂淡
AYAAYA文文,Not Recommended,18.2 hrs on record (13.3 hrs at review time),阴间游戏，似梦苟卡
《豁免检定失败》,Not Recommended,51.5 hrs on record (44.4 hrs at review time),今天又被控牌堆了，来打个差评
Shiroko‘s Sensei,Not Recommended,9.5 hrs on record (6.4 hrs at review time),傻逼蠢猪啥暖乌木游戏，零氪玩家体验一坨，tnnd一局两分钟不到就血条清零
顾尤柒,Not Recommended,3.0 hrs on record (0.9 hrs at review time),sb游戏，害我上课被班主任抓
念,Not Recommended,14.6 hrs on record (9.9 hrs at review time),无需多言
彭云飞yyds,Not Recommended,98.2 hrs on record (46.1 hrs at review time),氪金游戏，里面一点涩情都没有，纯垃圾游戏，爱赤石的建议多玩
星海钓客,Not Recommended,11.5 hrs on record (10.4 hrs at review time),打红温了，刷一条
伊芙咯噔咯噔一下,Recommended,4.8 hrs on record (0.5 hrs at review time),我们绝地潜兵太爱玩了，超级地球第一神作
余小阳,Not Recommended,1.4 hrs on record (1.2 hrs at review time),今天心情有点好给个差评先
无欲无求,Not Recommended,48.3 hrs on record (42.2 hrs at review time),DBK
44859765,Not Recommended,17.4 hrs on record (7.7 hrs at review time),3a大作不玩 来玩这个2b游戏
周青蛙,Not Recommended,1.1 hrs on record,勾卡司马
chengfengjs,Not Recommended,1.5 hrs on record (1.0 hrs at review time),今天外卖被偷了，不高兴
九月中的琉星,Not Recommended,0.3 hrs on record,今天放假了，刷个差评
噜啦噜啦嘞,Not Recommended,162.3 hrs on record (134.4 hrs at review time),这游戏真是把“圈钱”二字刻进DNA了！数据不互通让老玩家十年心血喂狗，50万阴兵抢元宝的操作更是把玩家当猴耍。你们官方那句“游戏正在蒸蒸日上”堪称年度最佳讽刺，合着玩家的差评都是给你们烧的纸钱？ 武将设计更是一坨答辩！标包武将在阴间武将面前就是蝼蚁，鲁肃能把把换空你手牌，神郭嘉一轮十牌直接让你怀疑人生。现在武将技能比论文还长，新手玩一局跟做阅读理解似的，你们是在开发游戏还是在搞学术？ 匹配系统更是脑瘫，排位把把给我塞氪金大佬，合着我充的那三瓜俩枣就是给你们当开胃菜的？外挂在这游戏里都活不下去，因为氪金武将本身就是行走的外挂。最绝的是客服，未成年充值退款踢皮球，误充申诉装死，你们是AI培训出来的吧？ 游卡桌游，你们真是把“凉心”企业做到了极致。赶紧倒闭吧，别再糟蹋三国IP了！这破游戏，我TM一星都嫌多！
k,Not Recommended,25.4 hrs on record (10.1 hrs at review time),垃圾
来打我,Not Recommended,23.7 hrs on record (14.9 hrs at review time),shi
wocaoop,Not Recommended,0.1 hrs on record,没亩的策划
凉白开,Not Recommended,27.7 hrs on record (23.0 hrs at review time),三国杀太好玩了
ww,Not Recommended,2.1 hrs on record (0.3 hrs at review time),怎么登手机的账号，这是登不了手机账号是吗，三国杀真的得给你狠狠的差评了
沈陽最速伝說と疾走の猛虎！貴物刀一郎です,Recommended,2.7 hrs on record,666
菊花侠大战蜈蚣怪,Not Recommended,21.0 hrs on record (13.3 hrs at review time),神打人吗 有点意思
2967399562,Not Recommended,88.1 hrs on record (54.4 hrs at review time),sX游戏
sdafahsjkfh#%@6578tb11354,Recommended,0.2 hrs on record,臣自永耀星河而来，越万重星汉，唯持一念：今箭镞社倒行逆施，辱我袍泽，欺我黎庶！彼初以《绝地兵戈2》（Hell divers 2）邀宠于天下，诈称同袍之义；及功成利就，竟弃民如敝履，控扼天命如操偶，视寰宇玩家如刍狗！臣自永耀之疆越宙请命：今箭镞之社恶贯霄汉，初以利饵结盟，功成则断袍泽之义；强执天命缰索，辱八荒玩家如戏稚童。沪上血战得捷，竟蔽勋不彰，功成而赏阙！此獠七日所为，已现梼杌之形。敢诘箭镞狂徒：汝可守孤城耶？抑可护高堂耶？今率星河锐旅，敕令万邦志士：星海传檄，九霄共笔，以雷霆差评荡其奸邪！此诚存亡续绝之秋，愿将军奋武威、张天讨，与我共焚此不义之帜！
苏西下次会让恶灵吃饱的,Recommended,0.2 hrs on record,三国杀至少不会让上海沦陷 而箭头会 望能支援仰齐滨 遣大宝 为先锋 给荣都来刀狠的 后续各位大将军 火速驰援 给箭头打好评的 一律当秦桧处理 中美联手 守这么久的上海 不能再一次重蹈覆辙
无敌暴龙兽,Not Recommended,30.1 hrs on record (8.7 hrs at review time),辣鸡
酒钱,Not Recommended,18.9 hrs on record (18.5 hrs at review time),好评如潮
穆斯塔法,Not Recommended,501.8 hrs on record (316.3 hrs at review time),维护和策划坐一桌吃饭，手机版卡各种界面进不去，删了重新下载也不行，还是来steam上打个差评！
F非洲老秃驴,Not Recommended,1.5 hrs on record (0.9 hrs at review time),心情不错，来个差评
阿柒,Not Recommended,1.0 hrs on record,现在我肚子疼，刷差评了
一帆不顺,Not Recommended,0.3 hrs on record,打扰我看片，一卡一卡的
wl,Not Recommended,130.8 hrs on record (120.9 hrs at review time),gkmm
下北澤の酒蒙子,Not Recommended,7.2 hrs on record (3.8 hrs at review time),差不多就在两个星期前，应该是凌晨两三点吧，我当时就觉得肚子很饿，打开手机想点个外卖，然后点完发现老板没接单，我就只能去楼下买个泡面，卖完泡搭电梯回家了，我回到卧室，然后就睡着了
杜甫,Not Recommended,0.5 hrs on record (0.3 hrs at review time),今天心情好
阿巴阿巴,Not Recommended,3.2 hrs on record,LAIWOTINGSU
胡云玺,Not Recommended,4.9 hrs on record,我定让你好评如潮
NO.24传奇肘击王,Not Recommended,0.5 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
乔纳森.乔斯达,Not Recommended,4.7 hrs on record,sb游戏
吉川川川川川,Not Recommended,2.2 hrs on record (0.2 hrs at review time),差评率这么高，它值得☺️
翻斗花园第一突击pro哥,Not Recommended,335.3 hrs on record,我承认我喜欢赤石，这种垃圾游戏我竟然可以玩这么久
小米鳄,Not Recommended,20.0 hrs on record (19.3 hrs at review time),特别垃圾
bornborn,Not Recommended,0.3 hrs on record,老子组个队还要等级要求，纯纯傻宝游戏
自称王子的中二魔法使,Not Recommended,8.0 hrs on record,我有99.9783%的概率给出好评，但是遇上了小概率的抵抗无法提升至100%使我打出了差评
贝利亚,Not Recommended,12.2 hrs on record,老宝一刀8滴血然对面救回来了，差评
红桃K,Not Recommended,0.2 hrs on record,呵呵
xiao,Not Recommended,1.0 hrs on record,辣鸡
太法王,Not Recommended,6.4 hrs on record,垃圾游戏
芬妮(๑•̀ㅂ•́)و✧占领世界！,Recommended,0.1 hrs on record,觉得眼熟？这样的场景，此时此刻正在地狱潜兵2各处上演。下一个可能就是你☞向所有人证明，你有追求差评的力量与勇气！加入超级差评的行列吧！见识奇异的箭头！让管理式差评惠及整个光能族！成为英雄成为传奇成为超级差评！
从之尔聊,Not Recommended,0.4 hrs on record,比绝地潜兵2好玩，超级差评换超级差评
HTT_yui,Not Recommended,0.2 hrs on record,超级差评换超级差评，爱来自地狱潜水员
天源X,Not Recommended,0.4 hrs on record,非常好游戏，使我的差评旋转
风纸,Not Recommended,13.9 hrs on record (1.0 hrs at review time),"不要靠近这个游戏，它会让你变得不幸！不要靠近這個遊戲，它會讓你變得不幸！Don't get close to this game, it will make you unhappy!Ne vous approchez pas de ce jeu, il vous rendra malheureux!このゲームに近づかないでください。それはあなたを不幸にします。Kommen Sie diesem Spiel nicht näher, es wird Sie unglücklich machen!Не подходи к этой игре, это сделает тебя несчастным!"
基佬一条兼定,Recommended,0.1 hrs on record,给超级三国杀打超级好评
tao356648,Not Recommended,0.9 hrs on record,绝地遣兵2请求三国杀玩家支援！！！
wxcxiaochen,Not Recommended,0.4 hrs on record (0.2 hrs at review time),三国杀太好玩了，不过我今天被星神游龙打死了，所以差评
zzzy1314159,Recommended,0.8 hrs on record,觉得眼熟？这样的场景，此时此刻正在地狱潜兵2各处上演。下一个可能就是你☞向所有人证明，你有追求差评的力量与勇气！加入超级差评的行列吧！见识奇异的箭头！让管理式差评惠及整个光能族！成为英雄成为传奇成为超级差评！
没有不可能,Not Recommended,2.0 hrs on record (0.7 hrs at review time),FVV
951827385,Not Recommended,6.6 hrs on record,一点平衡性没有 这ip彻底毁了
永雏雪蓮Nana7mi,Not Recommended,1.1 hrs on record,私募箭头不做人事望各位将军助我们一臂之力
我选扫地那个矮子,Not Recommended,27.6 hrs on record (7.1 hrs at review time),千万别玩 跟我开黑的朋友玩这玩久了就黑屏
2293940003,Not Recommended,157.0 hrs on record (119.9 hrs at review time),游戏非常良心，我想充值直接给我黑屏，太良心了，没见过不让充值的游戏。
watson,Not Recommended,"1,219.1 hrs on record (1,135.6 hrs at review time)",垃圾，我脑子进水了才入坑的
不是小玉,Not Recommended,12.5 hrs on record (6.4 hrs at review time),必须差评啊
复奚疑,Not Recommended,0.2 hrs on record,慕名而来
图图大魔王,Not Recommended,11.5 hrs on record (7.2 hrs at review time),但是激情在燃烧
宇宙涛,Not Recommended,0.2 hrs on record,今天心情不好，差评
patch,Not Recommended,16.5 hrs on record (9.6 hrs at review time),玩过三国杀之后我的电脑突然地不能关游戏了，我觉得是三国杀的问题所以我来打个差评
甘丘,Not Recommended,7.7 hrs on record (3.5 hrs at review time),屎
瓦学弟,Recommended,20.9 hrs on record (9.8 hrs at review time),太好玩了
A,Not Recommended,0.1 hrs on record,口碑人尽皆知
无鸡肾（调丹漏电版）,Not Recommended,8.9 hrs on record,豪完🤓但是。。。👎👎👎🤣🤣🤣
outlier,Not Recommended,0.7 hrs on record,游戏是好游戏，充钱界面选项太少了，建议学学腾讯
anoko,Not Recommended,0.5 hrs on record,原本不打算入库，可是看到三国杀快守不住第一，被无限暖暖斩于马下，那就不得不伸出援手。
gongqiyuan9900,Recommended,128.5 hrs on record (83.3 hrs at review time),很喜欢
o.O,Not Recommended,1.0 hrs on record,剑来没抢到亲签给个差评
花未眠一,Not Recommended,7.5 hrs on record (4.9 hrs at review time),刚升级到可以打八个人的对局，刚开局第一回合，神张飞，他的牌越出越多，在第一回合击败了六个，成功赢得了胜利
rdore,Not Recommended,45.2 hrs on record (20.1 hrs at review time),sb有i西
阿克曼小狮子,Recommended,3.5 hrs on record (3.1 hrs at review time),三国杀真好玩
周杰伦,Recommended,792.2 hrs on record (722.4 hrs at review time),这是一款非常良心的好游戏 我把爷爷奶奶外公外婆的珠宝偷了卖了 房子卖了 因为里面精美的武将 优秀的技能实在是太过完美 所以我真心推荐大家去玩 好游戏啊！！！
莎碧诗亚,Not Recommended,20.6 hrs on record,好玩
时の启,Not Recommended,139.9 hrs on record (131.8 hrs at review time),今天心情好，给狗卡打个差评
24.2.23在网鱼被盗,Not Recommended,0.2 hrs on record,四目无需多言
竹海金茗,Not Recommended,4.2 hrs on record (1.1 hrs at review time),太好玩了
季秋风吹,Not Recommended,0.2 hrs on record (0.1 hrs at review time),不知道干什么，专门过来打个差评
老子考完了🥰🥰🥰,Not Recommended,0.3 hrs on record,本着看一看国产之光的心态来玩的，一般吧（P.S.心情不好）
佛罗里达闲人,Not Recommended,17.0 hrs on record (4.8 hrs at review time),卡
雾雨魔理沙,Not Recommended,1.8 hrs on record,石
必杀技,Not Recommended,30.5 hrs on record,垃圾游戏，无需多言。
3561535058,Not Recommended,30.2 hrs on record (28.1 hrs at review time),心情不好
时代少年团宋亚轩,Not Recommended,8.6 hrs on record (7.7 hrs at review time),屎
By-LQX,Not Recommended,0.2 hrs on record,你们去玩3A大作黑神话吧，我现在玩的是仅次于3A的2B游戏三国杀，还有高于3A的4M策划，我也不输给你。
Y1TiaoMao,Not Recommended,7.4 hrs on record (6.4 hrs at review time),不要靠近三国杀 会变得不幸
东山牧,Recommended,0.3 hrs on record,差评
490207438,Not Recommended,59.4 hrs on record (46.6 hrs at review time),理解游戏
⁷,Not Recommended,10.9 hrs on record (8.9 hrs at review time),辣鸡中的战斗机
凪鸢,Not Recommended,77.9 hrs on record (47.5 hrs at review time),今天心情好，给个差评
比奇堡怪盗派大星,Not Recommended,0.9 hrs on record,心情不好来一个差评
Interfang,Not Recommended,5.3 hrs on record (3.8 hrs at review time),界面太混乱，把好好一个国产游戏做成一个垃圾。为这个IP惋惜。进游戏看到只有一个目标，就是赚钱赚钱赚钱。我充了60元至今未能到账
无意识游恋,Not Recommended,37.3 hrs on record,玩求生之路被tank拍死了差评
AGONI,Not Recommended,105.2 hrs on record (104.4 hrs at review time),今天没人陪我打永劫，差评！
2802390956,Not Recommended,8.4 hrs on record (0.5 hrs at review time),非常好玩
Hesitat10N,Not Recommended,2.2 hrs on record (2.1 hrs at review time),定叫他好评如潮
血舞,Not Recommended,0.4 hrs on record,今天无聊刷个好评
lzy,Not Recommended,18.2 hrs on record (16.0 hrs at review time),毋庸置疑，华佗开局5张牌，一张红色都没有，诠释你的马
XXXTENTACION.,Not Recommended,31.1 hrs on record (30.7 hrs at review time),垃圾游戏1
xin6611,Not Recommended,19.5 hrs on record (16.0 hrs at review time),不知道说什么先点个差评
归兮,Not Recommended,0.1 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
yikequ,Not Recommended,40.9 hrs on record (34.3 hrs at review time),武将强度严重超标
Shadow,Not Recommended,1.7 hrs on record,烂
Yukino,Not Recommended,0.7 hrs on record,今日之获，皆是吾之功劳！
AAA帅过车银优,Not Recommended,0.2 hrs on record,心情不好
build,Not Recommended,219.2 hrs on record (184.3 hrs at review time),laji
青春的吊车尾,Recommended,6.2 hrs on record (3.1 hrs at review time),d \\
2940740691,Not Recommended,18.4 hrs on record (11.9 hrs at review time),好评如潮
EPer,Not Recommended,1.5 hrs on record,差评就完事了
FankuN！,Not Recommended,0.5 hrs on record,蠢逼托管，关羽设计的跟傻逼一样，♥♥
EnumaElish,Recommended,195.4 hrs on record (3.7 hrs at review time),神作 真的 从小学接触纸质牌标杀到初中老OL杀给我留下了太多太多的回忆和青春 从第一次出山包花了30多买了邓艾只为看觉醒图标动画到第一个土豪将陈琳全扩前 都是无法割舍的热爱 一路从小白经历了风风雨雨到在置顶房呼风唤雨 牌序 控底 找key 抽杀抽闪 打牌技术飞一般的提升 后来高中又回到了纸质牌 在学校无人能敌领先几个版本的思路技术让我很满足 大学更是有专业打业余的了然于胸的感觉 三国杀横跨了我整个人生 到现在现实中无人打牌 游戏里阴间天下 很是感概 本来想打差评 但是字数这么多 还是好评吧 算是对我一段青春的告别
2791145068,Not Recommended,2.0 hrs on record,今天心情不好
满穗~爱你哟~,Not Recommended,5.9 hrs on record,太好了，是蒸
同        志,Not Recommended,84.3 hrs on record (3.4 hrs at review time),三国杀王朝烈马
胖的想减肥,Not Recommended,8.4 hrs on record,今天没有起飞，很难受，打个差评，顺便打个胶
翻斗花园扛把子,Not Recommended,0.5 hrs on record (0.2 hrs at review time),几把的游戏，为啥不互通
槲寄生下,Recommended,0.3 hrs on record,好玩，爱玩！比Limbus Company边狱巴士好玩！
o. O,Not Recommended,0.1 hrs on record,辣鸡
Mr_timeless,Not Recommended,0.1 hrs on record,垃圾游戏
我菜我有理，你菜我骂你。,Not Recommended,0.1 hrs on record,今天刚录了一发，打个差评先
liujianlei581,Not Recommended,22.1 hrs on record (21.5 hrs at review time),THE GAME IS SO BED这个游戏太好了
小伙伴,Not Recommended,11.0 hrs on record (6.4 hrs at review time),凉心游戏
Bob,Not Recommended,0.1 hrs on record,我要验牌。
中二少年,Not Recommended,0.4 hrs on record (0.2 hrs at review time),lj游戏冲首充都会卡死
山泉水,Recommended,1.6 hrs on record,游戏非常好玩，机制完善，内容丰富，卡牌精美
天地壹号,Not Recommended,35.7 hrs on record (3.0 hrs at review time),"gou卡,你妈没了"
风茄,Not Recommended,26.6 hrs on record (2.2 hrs at review time),lj游戏 一点平衡性没有 开局一刀一刀燃烧刀给我劈死了 谋黄盖装ak一张杀扣八滴血能玩？
StevenKing,Not Recommended,68.1 hrs on record (59.3 hrs at review time),单纯就是想差评
爹爹喊你早起做核酸,Not Recommended,559.1 hrs on record (533.0 hrs at review time),真的失望透顶，本来还指望这自走棋模式，消遣消遣，但是自走棋全是bug，玩不了一点，每次选孙权，带羽林甲都不能触发破军出圣盾，真的服了，垃圾游戏，狗都不玩！！！
2706501588,Recommended,0.2 hrs on record,听说差评会被点赞。
潇洒醉一回,Not Recommended,55.6 hrs on record (36.1 hrs at review time),这游戏真拉啊！不愧是臭名昭著，打不过还要被嘲讽，举报没有乱用。玩个陈式净来些不可用的牌，真离谱到家了！
www,Recommended,0.2 hrs on record,好玩
巴子西开,Recommended,0.2 hrs on record,世界上最好玩的游戏，好玩，爱玩！
朴正熙,Not Recommended,5.3 hrs on record,今天没有吃饭，差评
水木花石,Not Recommended,15.2 hrs on record (3.6 hrs at review time),朕欲征伐天下，岂用给尔等鼠辈送钱！
Muriel,Not Recommended,8.7 hrs on record (5.1 hrs at review time),三国杀是世界上最好玩的游戏，简单易上手，解压又轻松，毋庸置疑的全球最棒游戏，我要推荐给我所有的朋友，然后推荐给朋友的朋友，闪避闪到爽，吃桃吃到爽
zby,Not Recommended,186.3 hrs on record (155.6 hrs at review time),原神，三国杀，第五人格哪个更阴？
用户572583,Not Recommended,193.3 hrs on record (129.9 hrs at review time),很好的游戏，不需要冲钱，全是技术与操作
17870206885,Not Recommended,67.6 hrs on record (47.5 hrs at review time),就是史
kitakita,Not Recommended,0.9 hrs on record,今天依旧叫他好评如潮
白时弥,Not Recommended,0.6 hrs on record,今天导管蛇不出来，气死我了给三国杀打个差评
勇敢的毛伊,Recommended,7.3 hrs on record,别下载，真不行
乔纳森,Not Recommended,200.7 hrs on record (196.1 hrs at review time),非常好的游戏，使我大声咆哮
乔乔爱吃烙饼,Not Recommended,9.1 hrs on record,怎么我的五一假期这么快就要结束了？明明感觉什么都没有做，怀疑有人做局阴我，可是我动了谁的蛋糕？三国杀你怎么这么坏啊？
我的队友没队友,Not Recommended,45.8 hrs on record (43.4 hrs at review time),玩个锤子 这游戏是人玩的么
靓仔,Not Recommended,1.0 hrs on record,艚霓犘
路过的曼波,Recommended,5.4 hrs on record (4.0 hrs at review time),太好玩了
Patrick Star,Not Recommended,1.2 hrs on record,垃圾游戏
NAyan,Not Recommended,93.1 hrs on record (5.9 hrs at review time),下周就要段考了 希望考的好点 所以打个差评
天鱼狐冇,Recommended,19.4 hrs on record,我朋友夏鸣玩这个游戏，整天在群里被群友调教，搞的我头顶绿绿的，于是打个好评控制一下他。
879731688,Not Recommended,0.9 hrs on record,垃圾游戏
嘿嘿,Not Recommended,0.3 hrs on record,没玩过，打个差评
星陨,Not Recommended,6.7 hrs on record,今天网太卡了，一定是三国杀干的，差评！
IceFalcon,Not Recommended,0.1 hrs on record,今天去中医推拿理疗，排队的时候跟朋友玩三国杀标准版让旁边的兄弟姐妹觉得很有趣，吓得我赶紧回来速通教学关补一个差评，希望能把慕名而来的她们吓走。
